,Loss,Training_Accuracy,Testing_Accuracy
0,1.5973435020566944,85.24833679199219,96.86000061035156
1,0.0921413154642832,97.2699966430664,97.58999633789062
2,0.06801960932212338,97.9183349609375,98.0
3,0.0505195779434764,98.42833709716797,98.13999938964844
4,0.04585906350153258,98.59500122070312,98.0999984741211
5,0.04034068185922448,98.71499633789062,97.89999389648438
6,0.038225885586913436,98.84500122070312,98.5199966430664
7,0.03476508342525655,98.95333099365234,98.44999694824219
8,0.03122569500316516,99.0566635131836,98.37999725341797
9,0.027631990655421906,99.20333099365234,98.11000061035156
10,0.01287722764077621,99.60166931152344,98.83999633789062
11,0.004962178211711367,99.8499984741211,98.8499984741211
12,0.0024417990191001214,99.93000030517578,98.91999816894531
13,0.001264463687287514,99.97000122070312,98.94999694824219
14,0.0006730291203527492,99.98666381835938,98.98999786376953
15,0.0003876123831853188,99.99333190917969,98.98999786376953
16,0.0002668741019495324,99.99333190917969,98.95999908447266
17,0.0002138182465537589,99.99666595458984,98.98999786376953
18,0.00017956888730808623,99.99666595458984,99.01000213623047
19,0.00015078576335716566,99.99833679199219,99.0
