,Loss,Training_Accuracy,Testing_Accuracy
0,0.23210490840900092,93.2249984741211,96.81999969482422
1,0.09576530885070393,97.03166961669922,97.47999572753906
2,0.06428623734648889,98.07833099365234,97.8499984741211
3,0.05560527780465928,98.3566665649414,97.98999786376953
4,0.05105138018326212,98.4749984741211,97.93000030517578
5,0.04377415142334255,98.75499725341797,98.05999755859375
6,0.04181337718883426,98.8116683959961,98.11000061035156
7,0.03964015545426326,98.87999725341797,98.1199951171875
8,0.037258120193932626,98.9749984741211,98.15999603271484
9,0.03590514117695279,98.9816665649414,98.0999984741211
10,0.03472350624136375,99.0433349609375,98.1500015258789
11,0.03387604078039459,99.08000183105469,98.23999786376953
12,0.03223654260353875,99.14167022705078,98.29999542236328
13,0.0318153521746752,99.16666412353516,98.25
14,0.03161288045797089,99.16666412353516,98.2699966430664
15,0.03142826430013868,99.17500305175781,98.23999786376953
16,0.031249357089299882,99.1883316040039,98.23999786376953
17,0.031077498620896763,99.19499969482422,98.25999450683594
18,0.030902952478198506,99.19499969482422,98.2699966430664
19,0.030735520336376946,99.19833374023438,98.25999450683594
